	*saf				ttiefes				
s-j-ħ	saħ,	sejjaħ		ssejjaħ		nsieħ			
	sieħ								
s-j-j		sijja							
s-j-l	siel								
s-j-r¹	sar	sajjar		ssajjar					
s-j-r²	*sar								
s-j-s	*sies,	sejjes		ssejjes					
	*sejes								
s-j-t		sajjat							
s-l-j¹	sala								
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
s-l-j²		salla							
s-l-j³	sela,								
	sala								
s-l-j		sella							
s-l-j	sila								
s-m-j		semma		issemma					
s-q-j	saqa,	saqqa		ssaqqa,		nsaqa,			
	siqa,			ssewwaq		nseqa			
	seqa								
s-r-j¹	sara								
s-r-j²					ssara				
					(ssargħa)				
s-w-b		sawwab,		ssawwab,					
		sawweb		ssawweb					
s-w-d		sewwed		ssewwed				swied	
s-w-f		sawwaf,		ssawwaf,				swaf	
		sewwef		ssewwef					
s-w-j	sewa	sewwa 		ssewwa 					
s-w-l	sal 	sawwal							
s-w-m	sam	sawwam		ssawwem,					
				ssawwam					
s-w-n	san	sawwan							
s-w-q	saq	sewwaq		ssewwaq		nsaq			
s-w-r		sawwar		ssawwar					
		b     ċ      d	f      ġ      g	għ     h     ħ	j      k     l	m     n     p	q     r      s	t      v      w	x     ż     z
									
root	I	II	III	V	VI	VII	VIII	IX	X
s-w-s¹		sewwes		ssewwes					
s-w-s²	sies								
s-w-t		sawwat		ssawwat					
